0.01	1659441440.09996
0.02	1659441440.08996
0.03	1659441440.07996
0.04	1659441440.06996
0.05	1659441440.05996
0.06	1659441440.04996
0.07	1659441440.03996
0.08	1659441440.02996
0.09	1659441440.01996
0.1	1659441440.00996
0.11	1659441439.99996
0.12	1659441439.99823
0.13	1659441439.98928
0.14	1659441439.97928
0.15	1659441439.97032
0.16	1659441439.96032
0.17	1659441439.95032
0.18	1659441439.94032
0.19	1659441439.93032
0.2	1659441439.92032
0.21	1659441439.91032
0.22	1659441439.90032
0.23	1659441439.89032
0.24	1659441439.88032
0.25	1659441439.87032
0.26	1659441439.86032
0.27	1659441439.85032
0.28	1659441439.84032
0.29	1659441439.84035
0.3	1659441439.83035
0.31	1659441439.82035
0.32	1659441439.81035
0.33	1659441439.80035
0.34	1659441439.79035
0.35	1659441439.78035
0.36	1659441439.77035
0.37	1659441439.76035
0.38	1659441439.75035
0.39	1659441439.74035
0.4	1659441439.73035
0.41	1659441439.72035
0.42	1659441439.72035
0.43	1659441439.71035
0.44	1659441439.70035
0.45	1659441439.69035
0.46	1659441439.68035
0.47	1659441439.67035
0.48	1659441439.66035
0.49	1659441439.65035
0.5	1659441439.64035
0.51	1659441439.63035
0.52	1659441439.62035
0.53	1659441439.61035
0.54	1659441439.60035
0.55	1659441439.59035
0.56	1659441439.59037
0.57	1659441439.58037
0.58	1659441439.57037
0.59	1659441439.56037
0.6	1659441439.55037
0.61	1659441439.54037
0.62	1659441439.53037
0.63	1659441439.52037
0.64	1659441439.51037
0.65	1659441439.50037
0.66	1659441439.49037
0.67	1659441439.48037
0.68	1659441439.47037
0.69	1659441439.47035
0.7	1659441439.46035
0.71	1659441439.45035
0.72	1659441439.44035
0.73	1659441439.43035
0.74	1659441439.42035
0.75	1659441439.41035
0.76	1659441439.40035
0.77	1659441439.39035
0.78	1659441439.38035
0.79	1659441439.37035
0.8	1659441439.36035
0.81	1659441439.35035
0.82	1659441439.34035
0.83	1659441439.34035
0.84	1659441439.33035
0.85	1659441439.32035
0.86	1659441439.31035
0.87	1659441439.30035
0.88	1659441439.29035
0.89	1659441439.28035
0.9	1659441439.27035
0.91	1659441439.26035
0.92	1659441439.25035
0.93	1659441439.24035
0.94	1659441439.23035
0.95	1659441439.22035
0.96	1659441439.22035
0.97	1659441439.21035
0.98	1659441439.20035
0.99	1659441439.19035
1	1659441439.18035
1.01	1659441439.17035
1.02	1659441439.16035
1.03	1659441439.15035
1.04	1659441439.14035
1.05	1659441439.13035
1.06	1659441439.12035
1.07	1659441439.11035
1.08	1659441439.10035
1.09	1659441439.09035
1.1	1659441439.09036
1.11	1659441439.08036
1.12	1659441439.07036
1.13	1659441439.06036
1.14	1659441439.05036
1.15	1659441439.04036
1.16	1659441439.03036
1.17	1659441439.02036
1.18	1659441439.01036
1.19	1659441439.00036
1.2	1659441438.99036
1.21	1659441438.98036
1.22	1659441438.97036
1.23	1659441438.96036
1.24	1659441438.96036
1.25	1659441438.95036
1.26	1659441438.94036
1.27	1659441438.93036
1.28	1659441438.92036
1.29	1659441438.91036
1.3	1659441438.90036
1.31	1659441438.89036
1.32	1659441438.88036
1.33	1659441438.87036
1.34	1659441438.86036
1.35	1659441438.85036
1.36	1659441438.84036
1.37	1659441438.83036
1.38	1659441438.83035
1.39	1659441438.82035
1.4	1659441438.81035
1.41	1659441438.80035
1.42	1659441438.79035
1.43	1659441438.78035
1.44	1659441438.77035
1.45	1659441438.76035
1.46	1659441438.75035
1.47	1659441438.74035
1.48	1659441438.73035
1.49	1659441438.72035
1.5	1659441438.71035
1.51	1659441438.70035
1.52	1659441438.70035
1.53	1659441438.69035
1.54	1659441438.68035
1.55	1659441438.67035
1.56	1659441438.66035
1.57	1659441438.65035
1.58	1659441438.64035
1.59	1659441438.63035
1.6	1659441438.62035
1.61	1659441438.61035
1.62	1659441438.60035
1.63	1659441438.59035
1.64	1659441438.58035
1.65	1659441438.57035
1.66	1659441438.56035
1.67	1659441438.56035
1.68	1659441438.55035
1.69	1659441438.54035
1.7	1659441438.53035
1.71	1659441438.52035
1.72	1659441438.51035
1.73	1659441438.50035
1.74	1659441438.49035
1.75	1659441438.48035
1.76	1659441438.47035
1.77	1659441438.46035
1.78	1659441438.45035
1.79	1659441438.44035
1.8	1659441438.43035
1.81	1659441438.43035
1.82	1659441438.42035
1.83	1659441438.41035
1.84	1659441438.40035
1.85	1659441438.39035
1.86	1659441438.38035
1.87	1659441438.37035
1.88	1659441438.36035
1.89	1659441438.35035
1.9	1659441438.34035
1.91	1659441438.33035
1.92	1659441438.32035
1.93	1659441438.31035
1.94	1659441438.30035
1.95	1659441438.30035
1.96	1659441438.29035
1.97	1659441438.28035
1.98	1659441438.27035
1.99	1659441438.26035
2	1659441438.25035
2.01	1659441438.24035
2.02	1659441438.23035
2.03	1659441438.22035
2.04	1659441438.21035
2.05	1659441438.20035
2.06	1659441438.19035
2.07	1659441438.18035
2.08	1659441438.17035
2.09	1659441438.17035
2.1	1659441438.16035
2.11	1659441438.15035
2.12	1659441438.14035
2.13	1659441438.13035
2.14	1659441438.12035
2.15	1659441438.11035
2.16	1659441438.10035
2.17	1659441438.09035
2.18	1659441438.08035
2.19	1659441438.07035
2.2	1659441438.06035
2.21	1659441438.06032
2.22	1659441438.05032
2.23	1659441438.04032
2.24	1659441438.03032
2.25	1659441438.02032
2.26	1659441438.01032
2.27	1659441438.00032
2.28	1659441437.99032
2.29	1659441437.98032
2.3	1659441437.97032
2.31	1659441437.96032
2.32	1659441437.95032
2.33	1659441437.94032
